zip,beds
36301,327
-35957,204
35630,358
-36462,45
36049,29
-35235,317
35967,97
35007,212
-35233,12
-35660,178
-36360,77
-35960,45
-36116,329
36106-1109,270
-36802,372
36278,15
35233,1063
36078,37
35056,145
36420,88
36207,125
-35801,1027
35903,222
-35570,36
-35555,45
35901,256
36033,22
-36330,99
35462,20
36853,46
-36302,235
-35205,409
35042,25
-35650,43
35768,168
36340,73
35010,34
36027,30
36251,46
-36202,250
-35611,66
-36535,112
-35609,185
35594,61
36617,149
35502,207
36608,547
-36451,21
-35401,497
36744,28
36092,33
36427,46
-36532,129
35161,85
36726-1610,21
35211,279
35213,352
-36067,50
35477,40
36089,30
36732,37
-36652,618
35023,187
36701,109
36461,49
35565,49
36081,97
36545,35
36507,55
35125,40
36925,33
35209,425
36265,33
-36401,44
-36117,176
36037,44
35661,122
35653,49
35150,122
36867,47
36502,49
35045,26
36518,15
-35582,25
36904,25
-35121,25
99519-6604,391
-99645,74
-99801,45
99701,122
99508,338
99559,34
-99969,49
-99686,11
-99835,12
-99833,12
-99929,8
99615,24
-99574,13
-99762,18
99576,18
99752,17
99901-5746,25
99723,20
-99603,21
99835,25
85031-1703,228
85006,807
85712,441
86326,92
-85745,349
-85732,451
86301,206
85364,406
85020,262
85122,141
85008,387
86001,245
85013,460
85015-2443,129
85541,50
85224,338
85251,327
85635,75
86401,196
-85351,410
85901,89
85724-0001,479
85202,615
-85548,49
-86403,144
86504,56
86045,73
85634-0548,14
85542,8
85016,133
85032,127
86503,60
-85741,281
85258,427
-85206,318
85308,499
85027,204
85375,314
85308-7100,262
-86442,139
85054,266
85206,134
85015,32
85395,323
85713,132
85225,24
85941,40
-85755,111
85037,317
-86426,72
85296,198
85295,19
85209,142
85234,165
85255,120
85140,53
85132,36
85120,20
85339,16
85614,49
-85390,19
85602-2990,22
-85644,24
86040,25
86042,6
85344,20
85247,12
86505,25
-86047,25
-85603,14
-85621,25
-85501,25
85938,21
-85344,25
72761,44
-72830,57
-72703,320
72205,908
72758,206
72833,41
-72143,205
71953,41
-72601,120
72956,39
-72335,56
72401-3156,329
72764,275
71913,213
72653,170
-72034,139
-72117,177
-72450,114
72801,137
72455,32
71701,82
-71655,49
72901,320
72917-7000,343
-71753,30
72315,33
-71603,271
72160,49
-72076,47
-72104,64
71901,127
-72015,130
72342,127
71731,98
-72205,683
72401,224
-72501,184
72211,112
72120,49
-72118,49
72703,20
71801,67
72032,110
-72855,16
72834,25
-72949,25
72632,15
72958-2230,24
72519,25
-72396,15
-71654,25
-72476,25
72560-2300,25
71852,25
-72543,25
-72031,25
-72042,25
72370,25
-71742,22
72927-0290,24
71832,25
-71822,25
-71923,25
72576,25
-71635,25
-72110,25
71639,25
-71671,25
71653,25
-72616,25
72454,25
72736,25
94545-4383,195
95501,133
-94010,241
94117-3389,137
94558,145
94574,117
95642-2198,52
95819,389
90012,138
92501,456
91950,230
92103,1156
-91942,443
95521,78
-95965,133
93303,421
-95128,393
95926,298
91342,241
96080,49
-94609,296
-92243,161
94115-1925,464
-92220,61
94110-4403,120
93534,393
93291-6237,403
-91204,241
93721-1324,749
90027,777
-95361,35
92863-5600,397
94080-3208,120
-95051,327
-94596,233
-94589,200
94611,365
-94115,239
-90732,186
93030,242
95204,355
92411,185
94576,48
-90255,81
93720,375
91790,13
91786,363
-92123,832
94589-2574,106
92503,191
90033,904
-90262,339
93456,238
-95816,523
-93436,60
90404,531
-94403,100
92025-2762,356
91328,318
95336,73
-93230,230
95023,170
91208,123
95116,258
91405,333
95695,77
92056-4506,298
92404,328
-94945,47
91778-1507,187
-95901,209
90028,559
-94954,80
-91402,218
-90706,352
92335,626
93942-6032,227
91010,217
90015,318
95945,104
94109,150
95128,324
91436,82
93003,473
95231,196
92835,290
-90602,332
-95405,261
95382,209
94598-3198,506
-93930,76
90813-3393,273
-93654,49
95076,106
94538,289
94160,208
93551,157
91740,212
94501,34
-91911,243
92658-6100,518
95969,0
-92801,223
-94110,284
92634,167
-91767,412
93401,98
-92118,59
91505-4866,377
93065,144
91007,318
92106,323
95065,202
92262,325
-92324,366
-93906,148
95667,110
93308,90
-93257,128
90095,445
92373,195
94553,124
-91345,316
-92252,59
96001,272
91801,101
-94550,167
-94015,279
95403,84
92555-3911,439
93302,226
-95023,49
92311,30
92307,212
-95482,50
-94705,337
94039-7025,388
-95661,273
95376-3497,77
93306,222
-94602,186
92037,515
92354,788
91720,160
93901-4098,263
95370,84
92541,182
-97222,147
92868,355
90640,224
90505,472
96158,63
-90503,327
-93160,28
93274,108
94904,218
94533,182
90509,377
91352-1421,133
95124,300
91723,481
92543,304
90241-7010,199
93102,325
-93210,22
-94133,65
90710,257
93630,106
95531-3699,39
-92225,51
-95825,287
92804,167
91105,503
94305,447
95340,186
94143-0824,782
93303-2615,254
94117,113
95350,380
-90247,103
90017-2395,310
91307,228
90806,369
-94546,130
93611,208
94520,244
-95604,64
90057,320
92023,171
93405,156
-94063,116
94545,106
92120,790
95608,370
-92392,101
-94509,145
92647,82
-93635,40
92201,130
-95617,48
94063,149
92627,122
93258,44
95431,13
92626,30
91360,287
90720,146
91364,0
-95355,419
-90034,265
92691,465
93637,106
92708,618
92270-3221,370
90623,124
90712,172
91710,112
91773,95
92870,114
95823,367
95817,586
92653,252
95119,235
93215,105
92806-2020,484
93010,81
-91355,196
90048,880
93465,122
92064-2405,95
90023,387
-90033,361
-94116,6
-91367,252
92381,84
-92505,226
-95020,72
94583,123
-95403,173
-92595,240
91402,145
96710,27
92395,148
-93720,169
-95065,30
90242-3496,101
-91706,257
95355,23
90804,97
90605,156
-91754,101
91754,182
91733,104
90301,313
90291,104
90036,204
92805-5806,103
92869-3206,75
92705-3502,228
-82701,109
-95337,213
90036-4404,17
-94025,16
91403,112
91763,106
94531,138
91356,246
92006-5421,234
96049,205
-92360,94
95991-5074,14
95688-9494,140
92618,70
92563,112
-90650,117
95661-3027,340
94578,45
92592,140
90801,221
54577,206
90059,131
92780,135
95472,37
91769-6001,31
95932,42
96122-9406,9
93561-1900,20
-93545,4
-93546,17
-95338,18
-96028,22
-95988,15
90704,8
96104,4
-95442,9
96594,25
-95948,24
-92352,17
-93240,24
-96093,25
96097,25
95422,25
95440,25
96067,25
96130,25
95448,25
92363,25
93514,25
-95437,25
-95971,23
-96020,10
-96160,25
-95453,25
96101,16
-93463,11
95249,25
-93555,25
93023,25
92315,9
80631,225
80501-3129,131
80601,89
81401,50
-81101,49
80033,186
80524,225
80204-4507,378
81004,113
-81301,94
80218,698
80228,268
-81003,276
80909-5533,493
81502-1628,257
80045,641
80303,139
80538,289
80933,426
80220,226
-80113,356
80810,22
80701,36
80487,39
81505,53
80210,176
80229,127
81416,49
-81601,41
-80751,25
81657,56
-80012,309
80027,108
80023,92
-80206,24
80124,274
80122,159
80138,165
-80026,183
80443,34
80109,53
80528,23
80233,16
80504,51
80021,22
80918-3954,22
81036,25
81132,17
81521,25
80723,25
80731-2737,25
80734,15
80821,15
81648,25
-81140,17
80758,16
-80737,9
81073,15
80517,25
80807,19
81625,25
-80759,15
-81089,16
81650,12
80459,21
80461,8
81230,20
81082,25
-81201,25
81052-3993,25
-81611,25
81641,10
80863,15
81321-2299,25
81147,11
81050,25
81212,25
06105-1208,495
6260,104
6069,66
6708,213
-6904,288
-6320,236
6076,50
6610,332
06790-0988,91
-6066,102
-6706,152
6451,143
6830,181
6450,106
-6457,209
6226,44
6504,1279
6360,165
-6102,729
-6040,140
06606-4201,200
06111-0977,106
-6418,101
06810-6099,360
-6856,251
-6050,246
6030,142
6405,6
6492,30
6117,23
19899,1061
19805,180
19901,281
19973,94
-19958,193
19963,124
20037-2377,329
20060,192
20007,396
20016-2695,185
20017-2104,166
20032-4623,196
-20010,705
-32209,534
33435,431
32806,1468
32803,2753
33176,705
-33136,572
-33901,743
-32168,112
32114,436
34102,535
32901,514
33136,1457
32652,204
-32504,566
32401,293
32799,210
33150-2098,760
34761,211
33701,337
33140,473
-34208,295
33021,870
-33316,572
32204,481
34698-5848,112
34995,521
32720-0509,154
33541,149
33950,124
32565,21
33870,110
33012,119
34711,140
-33881,476
33013,362
-32578,65
34689,136
-32778,269
34474,773
34652-1971,187
-33705,308
-32117,295
33614,103
34285,229
34601,244
32673,179
33308,309
33607-4227,1062
33952,471
-33462,623
32433,50
34748,287
33064,304
34239-3509,673
32207,855
32086,335
32955,274
32501-2316,266
33853,93
32056,87
32960,310
32347,48
33936,78
-33872,180
34741,351
32610,872
32250,135
32614,99
33831,72
32536,110
32570,121
33033,142
33707,167
33756-3804,590
33606-3508,920
33430,54
33180,351
-33564,147
32063,21
-32308,386
33837,193
32034,54
32466,66
33040,99
32224,277
33143,547
-32055,91
-33805,764
32771,208
-34233,139
-33317,589
33486,367
-33613,506
34266,49
33410,199
32933,150
-32216,377
33710,168
33134,245
33016,367
33063,228
34655,242
-33308,129
32605,381
33609,147
-33175,394
33525,120
34209,355
32958,121
-33912,356
32547,189
-33321,245
-32073,273
-33324,224
33024,301
-32523,400
32177,99
33709,221
32404,222
33511,393
-33990,280
-34950,312
33770,262
34428,128
-34972,100
33458,207
32308,242
33615,182
34667,290
33484,356
-33573,138
-34952,207
-34613,280
33761-2045,311
32561,65
34223,100
33428,194
-33470,204
33612,206
-33414,233
-33065,196
33137,32
33028,446
33155,98
33029,178
34119,201
33401,333
33407,354
-33331,206
32159-0041,277
32940,197
-32550,62
33146,281
32324,24
34202,120
34769,84
32216,275
-32456,19
33196,133
32907,120
33544,145
34758,76
32068,106
32696,20
33126,0
32765,64
-33873,25
32060,25
32054,25
32424,15
32320,25
-32425,20
32428-0889,25
33440,25
32091,25
32340,25
33050,5
33070,25
30722,246
30286,87
31501,134
-30040,299
30606-3791,164
-31701,409
-30115,114
30302,577
-30117,147
-30180,40
30240,276
30209,94
30703-7013,69
-31405,212
31520,300
30635,52
30553,56
30901-2612,574
30501-3715,545
30120,119
30224,160
-30577,74
30912,486
-30060,642
31403,525
-31792,226
-30910,140
30529,28
30535,53
30141,112
31419,210
31719,54
30680,56
30655,76
30705,29
30512,39
30162,228
-31902,304
31093-3431,237
31513,34
-31750,48
-30306,357
30459,142
-30033,392
30308,475
30303-3050,659
30542,274
30309-1281,508
31082-0636,56
30046-7694,462
31533,86
30012,141
31023,40
-31793,181
30434-1558,37
31620-1511,33
31015,65
-31768,94
-31201,594
-30401,45
30824,25
30830,40
30312,466
39828-3142,46
31603-1727,274
31545,88
31021,145
-30474,52
31904,312
31774,34
-39819,80
31036-6748,55
-30417,49
30106-1121,367
31558,40
31061,98
-31069,39
-30342,536
31203,201
30274,244
30161,207
-30909,259
-30134,102
-30533,38
30513-6248,50
31063,22
30281,230
30278,206
31745,45
30076,169
31909,57
31210,85
31768,33
30214-4526,228
30143-4872,52
30058,90
30265-1210,136
30097,118
30265,50
31639,51
30742,16
37140,25
31014,15
31064,12
-30650,25
39837,25
31329-0386,25
31634,15
31008,25
30442,15
30476,25
-31024,25
39823,15
31830,25
-31029,25
30233,25
30110,15
30453,25
30546-0509,25
30673,25
-31635,25
-31510,25
31791,25
30642,25
30125,25
-31728,25
31643-1315,25
-31539,25
30349-0597,25
31313,25
30525,25
96813,615
96793,219
96786,43
96720,157
96734,160
-96717,170
96819-1495,295
-96766,72
96750,83
-96813,159
-96701,118
96743,33
96796-0337,25
96777,5
96755,6
96748,15
96731,15
96763,4
96746,5
96727,11
96790,9
83301,172
83501,94
-83712,559
83706-1309,348
83686,98
-83605,112
83403,226
83440-0310,67
83201-4004,137
-83814,297
-83704,9
-83404,41
83854,34
93221-1625,0
83687,70
83805,20
-83330,16
83252-0126,11
-83211,10
-83467,18
83672,19
83611-0151,8
-83276,25
83338-1851,25
-83647,21
-83638,15
-83422,13
83837,21
-83530,15
83254,21
83861,19
83617,13
-83350,16
-83544,23
83522-0137,25
-83263,20
83340,25
83213,14
-83221,25
-83318,31
-83843,25
-83864,25
-61520,43
-62002,132
60435,428
60160,276
60201,698
62948,85
61021,66
61614,109
62301,248
-60608,236
62565-1899,30
60504,192
60123,399
62401,133
-60085,220
-62801,82
61401,164
61081-1279,93
62864,171
-60617,201
60302,135
62002-0340,78
62769,369
60402,263
62650-1185,93
62052,46
60462,377
-60603,165
-60525,159
61637,629
-60628,134
62207,122
60202,195
60640,373
60646,122
60637,648
-61455,45
61801-2595,391
61821,157
60623,109
60099,73
60450,89
60621,130
61350,90
61801,169
60625,216
60613,156
-60050,264
60631,227
60406,300
60612,1010
61554,107
-60521,244
60612-3714,448
62040,288
-61761,206
60045,114
60629,219
62526,202
62246-1156,32
61362,44
62230,47
62450-2958,47
62781,400
60901,466
60616-2477,203
64032,100
61764,42
61701,137
62901,167
62521,131
60970,25
60461,192
60506,226
-60098,32
60649,201
60642,220
60622,543
60617-1175,122
62959,98
62226,212
62269,222
-61920,86
60426,268
60640-2772,145
60126,282
-60648,273
-60453,706
61636,198
62946,38
60134,144
60451,257
-60068,534
60657,277
61104,300
60540-7499,298
61108-2472,248
61354,53
61103,293
60190,347
-60429,233
60634,213
60005,396
60007-3397,257
-61282,145
60153,531
61201,297
60611,883
-60115,98
-60515,243
62062-1000,130
60194,318
-60010,176
-60139,122
-60615,25
-60440,110
62016,25
61856,16
-61036,25
61727,15
-61231,22
-62321,18
62088-1499,25
62274-1034,17
62263,22
61530,25
61342-9216,25
62837,25
61068,17
62644-0530,25
62363,25
60942,22
-60936,25
61462,23
61254-1099,25
-61944,25
62812,25
62656,25
-62960,25
62930,25
61443,25
62859,25
-62863,25
62982,25
61270,25
-61747,25
62832,25
62049,25
62681,22
62966,25
-60033,13
62249,25
61356,25
62233,25
62568,25
-60548,25
62557-1716,22
62906,25
62454,25
62439,25
62881,25
-62471,29
-62626,25
-62278,25
62286,25
62056,25
62839-0280,20
-46131,83
46402,456
46320,180
46122-1409,133
-46350,129
46902,109
46312,165
47130,153
46901,111
-46952,99
46545,282
46360,149
46804,435
46514,200
46845,566
47933,29
-47804,233
46202,1542
46526,122
-47392,48
46342,180
46383,238
-46140,61
47591,99
47150-4990,225
-46706,37
47802,164
46802,82
47374,163
47402,254
46158,83
46601,391
-46060,109
47501,42
47331,45
-47274,91
-47250,88
-46947,44
46219,305
-46714,62
46563,45
-47747,531
-46260,745
-47025,86
46016,141
47303-3428,320
46311-1799,140
46750,36
-46176,46
47750,405
46725-9492,30
46534,15
-46052,68
-47905,188
-47201,211
46011,134
47546,111
46321,473
46307,232
46227,169
-46580,72
46755-0728,31
-47630,98
-46825,131
46290,107
46033,153
46123-7085,127
46278,38
46032-4656,149
46237,441
46845-1705,37
46256,366
47150,10
47905,185
47129,46
46037,46
46032,6
47403,32
-46506,24
47934,25
47348,15
47265,25
-46173,25
-46996,25
47454,24
47993,16
-46036,25
47834,25
46992,18
46072,25
47960,25
-46975,25
47167,25
-47803,25
46041,25
47441-9457,25
46970,25
-47670,25
47371,25
47586,25
46761-1325,25
-47978,25
47601,25
-47842,25
-47882,25
-47421,25
-47006,25
46733,25
-47112,25
47240-1398,25
-46135,25
-47170,25
47421,25
50158,41
51401,49
-52632,49
-52761,45
50501,46
50316,161
51502,145
52245,218
50010-5745,158
50208,48
-52803,249
50613,35
52406-3026,301
-51503,110
52655,138
52242-1009,699
50401,170
50702,165
52001,234
-52403,194
52732,107
50309,455
50314,670
52501,88
52722,87
50703,187
-51301,49
-52627,50
-51360,44
51104,159
50112,49
51101,148
51245,14
-50421,22
-50525,25
50638,25
50841-1414,22
-50574,25
52205,22
-50423,25
-50441,25
51555-1197,25
-50849,25
-51023,25
-52052,25
-52742,13
50115,25
-52591,25
52175-1022,25
-52301,25
-52172,25
52043,15
50674-0148,16
-51246,14
-50220,25
-50461,25
-51640,25
50129,25
50273,25
52537-1271,25
52136,18
-52060,25
-50025,25
-50659,8
51455,17
50201,17
50548,17
-50644,25
51247-1420,25
52565-0070,25
50662,25
50677,21
-50144,11
-50049,25
52531,25
-52057,25
52353,25
51249,25
-51250,19
50616,25
50213-1694,25
-52349,25
-51449,25
51334,22
51632-0217,25
-50511,24
51445,25
50138,25
-52641,25
-50536,24
50060,25
-51040,25
-51041,25
50595,25
51012,25
51566,25
-52556,25
50801,25
51601,25
50219-1299,25
-51031,25
-51442,25
50583,25
-52101,25
50036,25
-50854,16
51537,25
50588,25
50022,25
52544-9017,25
52040,25
52577,25
-50126,21
-51201,25
66762,70
66048,46
67401-5080,175
-67601,149
66067-3598,47
66606-1690,224
-67042,53
67502,129
67846-5679,90
-67124,35
67152,42
66160-8501,831
66061,254
66701-8797,44
-67905,71
66441,49
67107,21
66604-1353,439
-66839,36
-67114,74
66204-4004,323
-67460,35
-66071,18
67880-2196,26
67357,46
67214,1223
-66044,110
66502,99
-67337,47
66112,171
-67005,32
67950-0937,26
-67801,60
66215,262
66209-3722,147
-67226,114
66213,83
67401-2697,16
66211,21
67530,33
67002,55
67502-1106,10
-66219,9
67235,39
66739,36
-67572,12
-67526,25
67356,12
-67839,25
67831,25
-67861,25
67730,15
66725,10
66956,24
-67756,16
67663,16
67029,12
67860,25
66097,25
-66538,24
-66032,12
-67547,12
67361,17
66436,12
66439,15
67864-0820,20
-67878,25
67578,25
-67870,13
67642,20
67748,25
67439-0087,18
-67467,25
67022,25
67554,25
67070-0184,10
-67054,15
67544,18
67104,22
67951,17
-67560,25
66547,18
-66534,17
-67045,25
67449,15
-66434,25
-67548,16
-67855,16
-66757,15
-67550,22
-67003,25
67740-0167,18
67654-0250,25
-66901,22
-67665,19
66968,25
67749,21
-67661,25
-66521,25
-67672,25
66861,10
67063,15
-64756,23
-67879,18
-67455,10
-66935,25
67701,21
-66508,23
-67474,24
66945,25
-67058,25
67752-0129,21
67865,14
67854-0310,25
-67735,21
-67432,17
67871,25
-66749,25
-66736,25
-67620,17
66743-2000,23
-66967,16
67068,25
-66846,25
-66720,22
67410-2100,19
66002-1297,25
67156,21
-66801,21
41075-1793,123
-41858,90
-42345,47
41653,127
41101-0151,439
-40504,255
-40741,105
42701,270
42102-9010,308
40065,30
42141-3483,108
-40351,91
-41056,100
-40965,73
40977,41
40333,63
40004,40
42071,99
-41701,229
41017-3403,459
41101,135
42304,427
40202,1062
-40962,49
41501,268
41042-4824,126
40361,34
-40422,170
40476-2603,60
-40831,73
42240-6315,133
41041,52
-42420,118
40353,42
42276,75
-40536,883
41503,88
42754,75
41240,72
41031,61
-40701,248
-42718,90
-40202,1430
40392,54
42431,143
-42064,48
40324,75
42003,265
40503,391
-42003,271
42178,49
42602,38
40456,20
-42066,95
42101,162
40601,116
-41230,65
40207-4676,468
42501,230
-40031,90
41339,49
-40509,162
-42728,49
40336-0928,25
40330,25
42211,25
41649,25
-42437,25
-41472,25
-40383,25
-42539,25
-41008,25
41097-9482,15
42749,25
40484,25
41749,25
42717,25
-42135,25
-40143,25
-42078,25
-42633,25
42445,25
42347-0126,25
-42164,25
-42743,25
42025,25
40906,25
40403,25
42642,25
41647,25
70503,372
-70302,130
70112-3018,264
70506,116
71457,81
-70360,188
71210,93
70663,107
70308,130
70404,344
-70570,151
-71301,633
70791,113
-70554,128
70601,400
70511-0580,44
70121,963
70072,215
70458,278
71101,182
70526,140
70433,353
70115-3515,260
70634,49
70546,49
70562-3338,113
70808-4389,711
70806,253
70070,39
71263,30
-71270,157
71075,46
71483,60
71130-3932,424
71351,49
70508,393
71463,49
32600,711
71040,37
71121-1060,49
71052,34
71201,371
70817,228
70648,25
71295,29
-71055,125
71342,30
70006,309
71269,38
71291,214
71446,62
70586,99
70112,477
70363,66
71418,77
70748,0
70605,108
70816,161
70461,150
71254,23
71449,48
71111,124
70360,30
70737,78
70810,39
70065,117
-71101,15
71301,24
70130,39
70002,16
70403,30
70631,25
70043,40
70429-0040,38
70127,60
-70441,25
-71241,20
70157,25
70390-2217,15
71082,25
-70071,25
-70775,25
-70633,19
70346,25
-70422,25
-70538,25
-71322,25
-71019,25
-70438,25
71384,25
-71465,25
70760,25
-71251,25
71334,25
70525,15
71001,21
70443,24
70548,25
-71232,25
70394,25
-70345,23
71222,15
4401,99
4101,103
4102,575
-4769,49
04005-0626,140
-3909,66
04011-3218,92
04240-4500,228
4736,49
04401-0489,313
04243-0291,140
4938,48
4330,172
-4901,33
-4650,48
-4743,43
04856-4240,81
04614-0823,25
-4441,25
-4538,25
4457,25
4609,25
-4619,25
4276,25
-4462,25
4730,25
-4426,25
-4009,25
4654,25
4915,25
-4967,25
-4976,25
4268,25
21742,257
21201,989
20707,378
20910,449
21701,272
21078,86
21202,204
21287,1007
21229,278
21215,568
21223,69
21237,369
20912,198
21550,27
20832-1512,115
21801,289
20814-1422,230
21401,415
-21218,192
21502,200
20650,109
21224,415
21620,26
21921,96
21157,145
-21225,139
20646,109
21601,183
20678,71
21133,202
21061,288
21204,513
21817,3
21045,267
21014,171
20706,210
21239,206
20850,338
21207,137
20744,29
21811,48
20735,182
20876,80
1453,130
2238,193
2703,131
1841,189
2148,200
2601,239
1060,118
1301,89
2124,110
1550,105
2721,175
1040,165
1950,120
1069,46
2118,432
01915-1777,296
1970,292
2135,212
1201,221
1752,67
2402,175
1510,21
2360,537
1605,114
1854,407
1086,82
1102,237
2155,160
2114,1028
2780,93
2720,835
1199,696
01884-0156,330
02492-2523,58
1742,111
2215,709
2120,98
1757,145
1440,114
1432,57
2467,241
1890,205
2186,102
2115,804
2301,249
2111,364
2130,147
2062,149
2574,95
1655,600
1805,345
1760,224
1608,259
02554-2799,19
2557,25
1230,24
1331,25
48154,252
49464,57
-49221,88
48341,416
49093,48
-49007,415
-48075,582
48124,567
-49085,264
-49036,87
48235,357
48801,49
48060,154
48838,49
-49707,113
49242-2081,44
-49503,1078
49058,49
48708,297
48105-1500,931
48043,580
48202,685
49855,244
-49801,39
49738,49
49503-4502,255
49442-5502,336
48843,38
48602,455
48033,34
-49423,173
49016,159
48601,188
49098,26
48858,83
49601,49
49090,49
48230,266
49201,313
49307,49
-48661,88
-49091,49
49684,409
48162,153
48764-0659,47
48201,686
49770,187
-49930,36
49431,49
49048,286
-48413,58
48867,111
48073-6769,998
48503-5993,370
49735,46
48532,301
48184,170
-48198,24
48192,281
48336,256
48106,444
48236,546
48910,256
49417,81
48183,193
48617,49
48436,183
48093,427
48439-8065,350
48342,108
48811,48
-48060,163
49068,78
48670,324
48912-1811,533
49519-9606,186
-49783,49
48054,67
48135,130
48307,176
48118,97
48091,13
48098-1198,495
48180,99
48603,7
48382,130
48116,99
48075,45
48322-3013,191
49660,45
49635,8
49646,8
49854-0000,12
49868,25
48658,25
49781,15
49946,24
49682,11
49953,25
48755,25
48427,15
48884,22
48441-0040,15
48471,25
49047,25
-48726,25
-48850,16
-49935,25
-49913,25
49455,24
49849-2151,25
49720,25
-49677,25
48827,20
48624,25
48879-2253,25
48813,25
49010,25
48723,25
48453,25
48846,22
49079-0209,25
49938,25
-49286,25
49829-0787,25
49412,25
55422-2926,341
-55805,548
55415-1829,330
-55904,61
55905,1115
55057-1697,37
55066-0095,50
55805,103
-55008,70
-56187,48
56308-3798,99
56303,451
55102,533
-55746,73
55912,159
55987-0600,41
55092-8013,55
56538-0728,80
55426-4702,361
55387,112
55407,599
-55033,29
55744-3698,36
55082,68
55060,29
-55021,32
-56401,112
55313,44
-55435,316
55426,778
55792-2398,48
-56201,81
56001,167
56601,94
-56501,36
-55379,89
55101,431
-55433,466
55371,33
-56031,55
-55350,49
-55404,8
56671,23
-55337,171
55109,184
55125,86
-55369,134
56557,10
56623,15
-56183,8
-56175,25
-56296,15
56431-1697,25
56277-1397,16
55616-1298,16
55072,9
-55307,16
55723-9745,14
-56510,14
-56232,20
-56143,14
56628-0258,20
55604-0010,16
55731-1198,16
56172,20
-56716,30
56240-0157,15
56649-3525,18
-56062,25
-56265,25
56347,14
56085,16
56621,25
56479,25
56352,14
56101,18
56081,25
-56082,17
-55981,17
-56728,15
56762,12
55041,18
-56136,24
55705-8714,16
56208,15
-56278,25
-56241,25
-56751,25
56093,15
55009,15
-56220,22
-56178,21
56362-1496,25
-55767,25
56283,25
56087,24
56441,25
56482,25
-55336,25
-56359,28
56542-1599,24
56633,5
-56258,25
56636-9703,20
56071-1799,20
-55362,25
-56267,25
-55720,22
56215,18
-55355,25
55051-1950,25
56378,24
56013,24
56345,25
56156-2519,25
-56256,12
56573,25
-56164,18
-56058,9
-56334,19
56520,25
56073,24
56531,10
56470,25
56701,25
39216,1276
38852,48
38801,527
38652,92
39530,165
-38834,163
38634,27
-38851,39
39422,20
-39502,281
-39744,38
38821,95
39339,14
39183,301
38655,169
39452-0607,42
39046,67
39581,320
38614,181
39350,58
38829,39
39652,17
39759,88
-39601,90
-39441,268
39069-0577,12
38965,26
39773,49
-39301,182
39204,248
-39367,49
39404,427
39159,19
39301,293
38704-5247,177
39120,147
39429,49
38732,152
-39402,132
-38751,47
39042,114
-39648,160
38935-1410,173
39701,158
39202,430
39466,49
-39503,100
39111,44
-38668,29
38606,90
-39193,32
39232,191
38671,309
39303,83
39520,47
39153,19
38654,53
-38901,49
39074,25
39730,25
39577,25
38921,9
39654,25
39476,22
39341,25
38863,25
39631-0639,16
38967,25
39194,25
39051,25
-39355,25
39114,25
38771,25
39095,25
39150,22
-39365,25
-39117,25
39667-2099,25
39428,25
-39474,25
39083,25
-39451,7
39653,24
38916,25
39470,24
39735,15
39328,25
39090,25
38663,25
64804,602
65233,46
63301-2844,233
64506-3398,352
65302-1706,98
-65101,167
63857,108
65401,172
